Nombre,Poblacion,Superficie_km2,Continente
Afghanistan,26023100,652230,Asia
Albania,2895947,28748,Europe
Algeria,38700000,2381741,Africa
American Samoa,55519,199,Oceania
Angola,24383301,1246700,Africa
Anguilla,13452,91,Americas
Antigua and Barbuda,86295,442,Americas
Argentina,42669500,2780400,Americas
Armenia,3009800,29743,Asia
Aruba,101484,180,Americas
Australia,23696900,7692024,Oceania
Austria,8527230,83871,Europe
Azerbaijan,9552500,86600,Asia
Bahrain,1316500,765,Asia
Bangladesh,157486000,147570,Asia
Barbados,285000,430,Americas
Belarus,9475100,207600,Europe
Belgium,11225469,30528,Europe
Belize,349728,22966,Americas
Benin,9988068,112622,Africa
Bermuda,64237,54,Americas
Bhutan,755030,38394,Asia
Bosnia and Herzegovina,3791622,51209,Europe
Botswana,2024904,582000,Africa
Brazil,203586000,8515767,Americas
British Indian Ocean Territory,3000,60,Africa
Bulgaria,7245677,110879,Europe
Burkina Faso,17322796,272967,Africa
Burundi,9530434,27834,Africa
Cambodia,15184116,181035,Asia
Cameroon,20386799,475442,Africa
Canada,35540419,9984670,Americas
Cayman Islands,55456,264,Americas
Central African Republic,4709000,622984,Africa
Chad,13211000,1284000,Africa
Chile,17819054,756102,Americas
China,1367110000,9640011,Asia
Christmas Island,2072,135,Oceania
Cocos (Keeling) Islands,550,14,Oceania
Colombia,47907800,1141748,Americas
Comoros,763952,1862,Africa
Cook Islands,14974,236,Oceania
Costa Rica,4713168,51100,Americas
Croatia,4267558,56594,Europe
Cuba,11210064,109884,Americas
Cyprus,858000,9251,Europe
Denmark,5655750,43094,Europe
Djibouti,886000,23200,Africa
Dominica,71293,751,Americas
Dominican Republic,10378267,48671,Americas
Ecuador,15888900,276841,Americas
Egypt,87668100,1002450,Africa
El Salvador,6401240,21041,Americas
Equatorial Guinea,1430000,28051,Africa
Eritrea,6536000,117600,Africa
Estonia,1315819,45227,Europe
Ethiopia,87952991,1104300,Africa
Faroe Islands,48605,1393,Europe
Fiji,859178,18272,Oceania
Finland,5470437,338424,Europe
France,66078000,640679,Europe
French Polynesia,268270,4167,Oceania
Gabon,1711000,267668,Africa
Georgia,4490500,69700,Asia
Germany,80783000,357114,Europe
Ghana,27043093,238533,Africa
Gibraltar,30001,6,Europe
Greece,10992589,131990,Europe
Greenland,56295,2166086,Americas
Grenada,103328,344,Americas
Guam,159358,549,Oceania
Guatemala,15806675,108889,Americas
Guernsey,63085,78,Europe
Guinea,10628972,245857,Africa
Guinea-Bissau,1746000,36125,Africa
Guyana,784894,214969,Americas
Haiti,10745665,27750,Americas
Heard Island and McDonald Islands,0,412,Americas
Honduras,8725111,112492,Americas
Hong Kong,7234800,1104,Asia
Hungary,9879000,93028,Europe
Iceland,328170,103000,Europe
India,1263930000,3287590,Asia
Indonesia,252164800,1904569,Asia
Iraq,36004552,438317,Asia
Ireland,6378000,70273,Europe
Isle of Man,84497,572,Europe
Israel,8268400,20770,Asia
Italy,60769102,301336,Europe
Jamaica,2717991,10991,Americas
Japan,127080000,377930,Asia
Jersey,99000,116,Europe
Jordan,6666960,89342,Asia
Kazakhstan,17377800,2724900,Asia
Kenya,41800000,580367,Africa
Kiribati,106461,811,Oceania
Kuwait,3268431,17818,Asia
Kyrgyzstan,5776570,199951,Asia
Lao People's Democratic Republic,6693300,236800,Asia
Latvia,1991800,64559,Europe
Lebanon,4104000,10452,Asia
Lesotho,2098000,30355,Africa
Liberia,4397000,111369,Africa
Libya,6253000,1759540,Africa
Liechtenstein,37132,160,Europe
Lithuania,2927310,65300,Europe
Luxembourg,549700,2586,Europe
Madagascar,21842167,587041,Africa
Malawi,15805239,118484,Africa
Malaysia,30430500,330803,Asia
Maldives,341256,300,Asia
Mali,15768000,1240192,Africa
Malta,416055,316,Europe
Marshall Islands,56086,181,Oceania
Mauritania,3545620,1030700,Africa
Mauritius,1261208,2040,Africa
Mexico,119713203,1964375,Americas
Monaco,36950,2,Europe
Mongolia,2987733,1564110,Asia
Montserrat,4922,102,Americas
Morocco,33465000,446550,Africa
Mozambique,25041922,801590,Africa
Namibia,2113077,825615,Africa
Nauru,10084,21,Oceania
Nepal,27646053,147181,Asia
Netherlands,16881000,41850,Europe
New Caledonia,268767,18575,Oceania
New Zealand,4547900,270467,Oceania
Nicaragua,6134270,130373,Americas
Niger,17138707,1267000,Africa
Nigeria,178517000,923768,Africa
Niue,1613,260,Oceania
Norfolk Island,2302,36,Oceania
Northern Mariana Islands,53883,464,Oceania
Norway,5156450,323802,Europe
Oman,4089076,309500,Asia
Pakistan,188410000,881912,Asia
Palau,20901,459,Oceania
Panama,3713312,75417,Americas
Papua New Guinea,7398500,462840,Oceania
Paraguay,6893727,406752,Americas
Peru,30814175,1285216,Americas
Philippines,100697400,342353,Asia
Poland,38496000,312679,Europe
Portugal,10477800,92090,Europe
Puerto Rico,3615086,8870,Americas
Qatar,2269672,11586,Asia
Romania,19942642,238391,Europe
Russian Federation,146233000,17124442,Europe
Rwanda,10996891,26338,Africa
Saint Kitts and Nevis,55000,261,Americas
Saint Lucia,184000,616,Americas
Saint Pierre and Miquelon,6081,242,Americas
Saint Vincent and the Grenadines,109000,389,Americas
Samoa,187820,2842,Oceania
San Marino,32743,61,Europe
Saudi Arabia,30770375,2149690,Asia
Senegal,13508715,196722,Africa
Serbia,7186862,49037,Europe
Seychelles,89949,452,Africa
Sierra Leone,6205000,71740,Africa
Singapore,5469700,710,Asia
Slovakia,5415949,49037,Europe
Slovenia,2064966,20273,Europe
Solomon Islands,581344,28896,Oceania
Somalia,10806000,637657,Africa
South Africa,54002000,1221037,Africa
South Sudan,11384393,619745,Africa
Spain,46507760,505992,Europe
Sri Lanka,20277597,65610,Asia
Sudan,37289406,1886068,Africa
Suriname,534189,163820,Americas
Sweden,9737521,450295,Europe
Switzerland,8183800,41284,Europe
Syrian Arab Republic,22964324,185180,Asia
Tajikistan,8161000,143100,Asia
Thailand,64871000,513120,Asia
Togo,6993000,56785,Africa
Tokelau,1411,12,Oceania
Tonga,103252,747,Oceania
Trinidad and Tobago,1328019,5130,Americas
Tunisia,10982754,163610,Africa
Turkey,76667864,783562,Asia
Turkmenistan,5838064,488100,Asia
Tuvalu,11323,26,Oceania
Uganda,34856813,241550,Africa
Ukraine,42973696,603700,Europe
United Arab Emirates,9446000,83600,Asia
United Kingdom,64105654,242900,Europe
United States,319259000,9629091,Americas
Uruguay,3404189,181034,Americas
Uzbekistan,30492800,447400,Asia
Vanuatu,264652,12189,Oceania
Wallis and Futuna,13135,142,Oceania
Western Sahara,586000,266000,Africa
Yemen,25956000,527968,Asia
Zambia,15023315,752612,Africa
Zimbabwe,13061239,390757,Africa
